config,R2(mlr),R2(rf),R2(svr),R2(ann),RMSE(mlr),RMSE(rf),RMSE(svr),RMSE(ann),input,output
bands_1_row,0.435,0.456,0.438,0.387,0.145,0.137,0.139,0.156,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2_row,0.413,0.341,0.438,0.419,0.145,0.151,0.14,0.142,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3_row,0.387,0.317,0.438,0.385,0.149,0.156,0.141,0.147,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4_row,0.355,0.309,0.384,0.373,0.154,0.159,0.149,0.152,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5_row,0.277,0.264,0.374,0.339,0.162,0.165,0.152,0.157,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_1_col,0.374,0.45,0.507,0.387,0.145,0.142,0.139,0.153,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2_col,0.564,0.521,0.591,0.574,0.126,0.132,0.114,0.12,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3_col,0.551,0.507,0.606,0.508,0.127,0.129,0.112,0.127,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4_col,0.465,0.473,0.65,0.521,0.133,0.131,0.109,0.126,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5_col,0.548,0.549,0.651,0.599,0.124,0.125,0.11,0.12,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_1_mean,0.426,0.415,0.454,0.331,0.145,0.14,0.144,0.152,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2_mean,0.515,0.526,0.57,0.538,0.132,0.128,0.125,0.125,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3_mean,0.462,0.478,0.541,0.501,0.136,0.131,0.126,0.141,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4_mean,0.46,0.523,0.519,0.47,0.137,0.128,0.129,0.133,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5_mean,0.421,0.498,0.491,0.545,0.142,0.132,0.13,0.137,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
props_ex_som_1_row,0.512,0.643,0.698,0.676,0.129,0.107,0.101,0.102,elevation-moisture-temp,som
props_ex_som_2_row,0.537,0.73,0.744,0.746,0.129,0.099,0.096,0.095,elevation-moisture-temp,som
props_ex_som_3_row,0.53,0.736,0.759,0.748,0.129,0.097,0.093,0.094,elevation-moisture-temp,som
props_ex_som_4_row,0.543,0.753,0.766,0.768,0.129,0.095,0.092,0.092,elevation-moisture-temp,som
props_ex_som_5_row,0.539,0.753,0.773,0.768,0.129,0.095,0.091,0.092,elevation-moisture-temp,som
props_ex_som_1_col,0.515,0.647,0.705,0.664,0.13,0.106,0.101,0.104,elevation-moisture-temp,som
props_ex_som_2_col,0.483,0.667,0.673,0.724,0.13,0.106,0.1,0.098,elevation-moisture-temp,som
props_ex_som_3_col,0.491,0.625,0.666,0.68,0.131,0.109,0.1,0.103,elevation-moisture-temp,som
props_ex_som_4_col,0.502,0.661,0.714,0.665,0.129,0.106,0.101,0.101,elevation-moisture-temp,som
props_ex_som_5_col,0.512,0.668,0.692,0.707,0.13,0.107,0.101,0.1,elevation-moisture-temp,som
props_ex_som_1_mean,0.465,0.67,0.69,0.689,0.129,0.108,0.101,0.101,elevation-moisture-temp,som
props_ex_som_2_mean,0.54,0.627,0.68,0.679,0.13,0.109,0.103,0.104,elevation-moisture-temp,som
props_ex_som_3_mean,0.516,0.657,0.712,0.692,0.129,0.107,0.099,0.101,elevation-moisture-temp,som
props_ex_som_4_mean,0.521,0.659,0.684,0.688,0.129,0.105,0.1,0.102,elevation-moisture-temp,som
props_ex_som_5_mean,0.505,0.661,0.693,0.681,0.13,0.108,0.103,0.104,elevation-moisture-temp,som
all_ex_som_1_row,0.635,0.689,0.742,0.739,0.11,0.105,0.094,0.094,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_2_row,0.633,0.715,0.749,0.739,0.114,0.1,0.094,0.095,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_3_row,0.622,0.738,0.733,0.752,0.116,0.097,0.097,0.094,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_4_row,0.609,0.741,0.763,0.75,0.12,0.096,0.093,0.094,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_5_row,0.589,0.756,0.758,0.752,0.122,0.094,0.093,0.095,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_1_col,0.616,0.68,0.697,0.711,0.113,0.103,0.103,0.099,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_2_col,0.667,0.682,0.745,0.689,0.106,0.104,0.095,0.1,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_3_col,0.611,0.668,0.718,0.656,0.113,0.103,0.096,0.103,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_4_col,0.598,0.69,0.732,0.696,0.114,0.101,0.095,0.098,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_5_col,0.642,0.697,0.749,0.701,0.111,0.101,0.093,0.098,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_1_mean,0.597,0.694,0.698,0.733,0.113,0.104,0.096,0.095,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_2_mean,0.648,0.664,0.724,0.764,0.109,0.104,0.093,0.089,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_3_mean,0.644,0.667,0.754,0.744,0.109,0.104,0.093,0.092,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_4_mean,0.613,0.68,0.736,0.764,0.112,0.105,0.092,0.089,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_5_mean,0.611,0.675,0.75,0.747,0.115,0.104,0.092,0.09,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
